id,text,description
1,Privatrecht,
101,Einzelunternehmen,
102,Einfache Gesellschaft,
103,Kollektivgesellschaft,
104,Kommanditgesellschaft,
105,Kommanditaktiengesellschaft,
106,Aktiengesellschaft,
107,Gesellschaft mit beschränkter Haftung GMBH / SARL,
108,Genossenschaft,
109,Verein,
110,Stiftung,
114,Kommanditgesellschaft für kollektive Kapitalanlagen,
115,Investmentgesellschaft mit variablem Kapital (SICAV),
116,Investmentgesellschaft mit festem Kapital (SICAF),
117,Institut des öffentlichen Rechts,"Im Handelsregister eingetragene, organisatorisch verselbständigte Einrichtungen des öffentlichen Rechts des Bundes, der Kantone und der Gemeinden, unabhängig davon, ob sie als juristische Person ausgestaltet sind oder nicht."
118,Nichtkaufmännische Prokuren,
119,Haupt von Gemeinderschaften,
2,Öffentliches Recht,
220,Verwaltung des Bundes,
221,Verwaltung des Kantons,
222,Verwaltung des Bezirks,
223,Verwaltung der Gemeinde,
224,öffentlich-rechtliche Körperschaft (Verwaltung),"Hier werden die öffentlich-rechtlichen Körperschaften aufgeführt, die nicht unter den Punkten Verwaltung des Bundes, des Kantons, des Bezirks oder der Gemeinde aufgelistet werden können. Z.B. Gemeindeverbände, Schulgemeinden, Kreise und von mehreren Körperschaften geführte Verwaltungen."
225,Staatlich anerkannte Kirche,"Die Information ""Staatlich anerkannte Kirche"" bezieht sich auf die Sicht des Absenders."
230,Unternehmen des Bundes,
231,Unternehmen des Kantons,
232,Unternehmen des Bezirks,
233,Unternehmen der Gemeinde,
234,öffentlich-rechtliche Körperschaft (Unternehmen),"Hierzu zählen alle öffentlich-rechtlichen Unternehmen, die nicht unter den Punkten Unternehmen des Bundes, des Kantons, des Bezirks oder der Gemeinde ausgelistet werden können, z.B. die Forstbetriebe von Ortsbürgergemeinden."
3,Andere Rechtsform,
311,Wert 0311,
