name,countW,countM
Aaron,0,3011
Adam,0,2197
Adelheid,8972,0
Adelina,1275,0
Adem,0,1014
Adnan,0,1156
Adolf,0,2499
Adrian,0,16609
Adriana,3737,0
Adriano,0,2491
Adrien,0,2831
Agatha,1249,0
Agnes,6422,0
Agnès,1646,0
Ahmed,0,1888
Ahmet,0,1773
Aida,1155,0
Alain,0,10909
Alan,0,2092
Alban,0,1155
Albert,0,9061
Alberto,0,3454
Albin,0,1385
Aldo,0,2147
Alejandro,0,1297
Aleksandar,0,2373
Aleksandra,1830,0
Alena,1535,0
Alessandra,3239,0
Alessandro,0,8396
Alessia,5097,0
Alessio,0,3679
Alex,18,5439
Alexander,0,13461
Alexandra,12941,0
Alexandre,0,9461
Alexia,1666,0
Alexis,82,2252
Alfons,0,1214
Alfred,0,15271
Alfredo,0,1482
Ali,10,5555
Alice,12299,0
Alicia,2896,0
Alina,5202,0
Aline,6736,0
Alisha,1113,0
Alma,1768,0
Alois,0,5620
Alyssa,1114,0
Amanda,2572,0
Amandine,1135,0
Amelia,1239,0
Amelie,1017,0
Amina,1684,0
Amir,0,1640
Amy,1061,0
Amélie,3050,0
Ana,14269,0
Anabela,1208,0
Anastasia,1761,0
Anaïs,2303,0
Andrea,26370,7204
Andreas,0,40695
Andreia,1494,22
Andres,0,1550
Andrew,0,1416
Andri,0,1423
Andrin,0,3160
André,0,20401
Andrée,1622,0
Angela,12750,0
Angelika,3113,0
Angelina,3124,0
Angelo,0,5554
Anina,2001,0
Anita,18249,0
Anja,7833,0
Anna,42989,0
Annalise,1170,0
Annamarie,2377,0
Anne,10879,0
Anne-Lise,1034,0
Anne-Marie,3352,0
Anneliese,1154,0
Annelise,1610,0
Annemarie,5970,0
Annette,3207,0
Annick,1398,0
Annie,1101,0
Annika,1540,0
Annina,2351,0
Anouk,2144,0
Anthony,0,3394
Antoine,0,3917
Antoinette,3188,0
Anton,0,13316
Antonella,2381,0
Antonia,3987,0
Antonietta,1953,0
Antonino,0,1594
Antonio,0,19747
António,0,2602
Arben,0,1202
Ariane,2942,0
Arlette,2350,0
Armando,0,2037
Armin,0,6111
Arnaud,0,2721
Arno,0,1468
Arnold,0,2728
Aron,0,1089
Arthur,0,5593
Artur,0,1191
Astrid,6680,0
Audrey,2378,0
August,0,1171
Aurelia,1360,0
Aurora,1970,0
Aurélie,2830,0
Aurélien,0,1132
Axel,0,2116
Ayse,1356,0
Baptiste,0,1230
Barbara,28152,0
Basil,0,1224
Bastien,0,1679
Beat,0,21655
Beatrice,16569,0
Beatrix,5890,0
Beatriz,1931,0
Bekim,0,1185
Belinda,1192,0
Ben,0,2147
Benedikt,0,1593
Benjamin,0,12764
Benno,0,1716
Benoît,0,1784
Bernadette,7099,0
Bernard,0,7430
Bernd,0,1519
Bernhard,0,9646
Berta,2542,0
Bertha,2887,0
Bertrand,0,1713
Bettina,7218,0
Bianca,3180,0
Biljana,1126,0
Birgit,1852,0
Björn,0,1776
Boris,0,2415
Brian,0,1327
Brigitta,6776,0
Brigitte,20827,0
Bruna,1644,0
Bruno,0,29164
Bryan,0,1807
Béatrice,4061,0
Camille,3700,485
Carina,2329,0
Carine,1620,0
Carla,6718,0
Carlo,0,4521
Carlos,0,8249
Carmela,2578,0
Carmelo,0,1203
Carmen,10514,0
Carmine,0,1279
Carola,1045,0
Carole,4150,0
Carolina,2643,0
Caroline,10358,0
Catarina,1269,0
Caterina,2290,0
Catherine,10181,0
Catia,1113,0
Cecilia,1532,0
Cedric,0,1855
Celina,1064,0
Celine,1536,0
Chantal,9322,0
Charles,0,5610
Charlotte,7530,0
Chiara,6922,0
Chloé,3053,0
Christa,5392,0
Christel,1575,0
Christelle,2282,0
Christian,0,42812
Christiane,7514,0
Christina,8825,0
Christine,24289,0
Christof,0,2022
Christoph,0,17552
Christophe,0,7642
Christopher,0,2885
Cindy,3210,0
Cinzia,1526,0
Claire,3360,0
Clara,3556,0
Claude,906,9216
Claudia,30417,0
Claudine,5225,0
Claudio,0,9437
Clément,0,1171
Colette,2258,0
Colin,0,2829
Concetta,1284,0
Coralie,1446,0
Corina,4209,0
Corinna,1169,0
Corinne,12835,0
Cornelia,14042,0
Cosimo,0,1047
Cristian,0,1585
Cristina,5765,0
Cynthia,1735,0
Cyril,0,2946
Cyrill,0,2538
Cäcilia,1784,0
Cécile,4179,0
Cédric,0,6902
Célia,1527,0
Céline,9626,0
Dagmar,1416,0
Daisy,1018,0
Damian,0,3052
Damiano,0,1007
Damien,0,3008
Dana,1268,34
Daniel,0,62129
Daniela,24967,0
Daniele,151,4176
Danielle,4209,0
Danijela,1288,0
Danilo,0,1952
Danièle,1811,0
Daria,1579,0
Dario,0,8752
David,0,30805
Davide,0,5107
Debora,2707,0
Deborah,4558,0
Dejan,0,1733
Delia,1936,0
Delphine,2126,0
Denis,0,5745
Denise,11408,0
Dennis,0,2062
Diana,7455,0
Diane,1146,0
Didier,0,3544
Diego,0,6036
Dieter,0,4199
Dimitri,0,1689
Dina,1430,0
Dino,0,1336
Diogo,0,1847
Dirk,0,1682
Dolores,1428,0
Domenico,0,3745
Dominic,0,5258
Dominik,0,10756
Dominique,5876,5346
Donato,0,1240
Dora,9006,0
Doris,16833,0
Dorothea,3228,0
Dragan,0,2213
Dragana,1352,0
Dragica,1130,0
Dylan,0,3188
Désirée,2168,0
Edgar,0,2557
Edith,13819,0
Edouard,0,1168
Eduard,0,4910
Eduardo,0,1679
Edwin,0,2434
Elena,10762,0
Eleonora,1822,0
Elfriede,1873,0
Elia,372,3361
Eliana,1124,0
Eliane,7533,0
Elias,0,5015
Elif,1382,0
Elin,2036,15
Elina,1972,0
Elio,0,1642
Elisa,5721,0
Elisabeth,35834,0
Elisabetha,1456,0
Elisabetta,1205,0
Elise,1812,0
Elizabeth,1501,0
Elke,1389,0
Ella,2466,0
Ellen,1153,0
Elmar,0,1027
Elodie,2897,0
Elsa,6228,0
Elsbeth,8016,0
Elvira,3282,0
Emanuel,0,2679
Emanuele,0,1244
Emil,0,4552
Emilia,3185,0
Emilie,5238,0
Emilio,0,1458
Emily,2098,0
Emine,1674,0
Emma,10138,0
Emmanuel,0,2315
Emmanuelle,1279,0
Enea,87,1183
Enrico,0,3216
Enzo,0,2106
Eric,0,9393
Erica,1288,0
Erich,0,8536
Erik,0,1672
Erika,21701,0
Erna,4124,0
Ernst,0,18035
Erwin,0,7748
Estelle,2051,0
Esther,18815,0
Ethan,0,1237
Etienne,0,2272
Eugen,0,2971
Eva,13316,0
Evan,0,1377
Eveline,7823,0
Evelyn,2362,0
Evelyne,4351,0
Fabian,0,14387
Fabien,0,2487
Fabienne,13862,0
Fabio,0,11627
Fabrice,0,3357
Fabrizio,0,2504
Fanny,2728,0
Fatima,2399,0
Fatime,1241,0
Fatma,2205,0
Federica,1138,0
Federico,0,1821
Felix,0,9102
Ferdinand,0,1532
Fernanda,1791,0
Fernando,0,5307
Filip,0,1346
Filipe,0,1780
Filippo,0,1662
Filomena,1418,0
Finn,0,1685
Fiona,3696,0
Flavia,3035,0
Flavio,0,3686
Florence,4372,0
Florent,0,1202
Florian,0,12972
Flurin,0,1262
Flurina,1318,0
Franca,1871,0
Francesca,4454,0
Francesco,0,9456
Francine,2883,0
Francis,34,3051
Francisco,0,4377
Franco,0,4214
Frank,0,4930
Franz,0,13652
Franziska,14240,0
François,0,7178
Françoise,7704,0
Fridolin,0,1571
Frieda,4779,0
Friedrich,0,4286
Fritz,0,11640
Frédéric,0,6495
Gabriel,0,9086
Gabriela,13661,0
Gabriele,4000,2367
Gabriella,3403,0
Gabrielle,2607,0
Gaetano,0,1201
Gaëlle,1200,0
Geneviève,2220,0
Georg,0,5378
Georges,0,4658
Georgette,1830,0
Gerardo,0,1143
Gerda,2232,0
Gerhard,0,4992
Germaine,1359,0
Gertrud,16724,0
Giacomo,0,1632
Giada,1259,0
Gian,0,5408
Giancarlo,0,1364
Gianfranco,0,1066
Gianluca,0,2346
Gianna,1214,0
Gianni,0,1829
Gilbert,0,3871
Gilberte,1058,0
Gilles,0,2920
Gina,1918,0
Ginette,1411,0
Gino,0,1177
Giorgio,0,2737
Giovanna,3002,0
Giovanni,0,7773
Gisela,4150,0
Gisèle,1938,0
Giulia,5111,0
Giuliana,1178,0
Giuliano,0,1268
Giuseppa,1108,0
Giuseppe,0,12744
Giuseppina,2857,0
Gloria,1593,0
Goran,0,1740
Gordana,1456,0
Gottfried,0,1843
Graziella,1771,0
Gregor,0,2259
Gregory,0,1826
Grégoire,0,1325
Grégory,0,1385
Guido,0,6592
Guillaume,0,3402
Guy,0,2194
Gérald,0,2051
Géraldine,1731,0
Gérard,0,3600
Günter,0,1292
Hana,1163,0
Hanna,5904,0
Hannah,1751,0
Hannelore,1472,0
Hannes,0,1016
Hans,0,55475
Hans-Peter,0,2767
Hans-Rudolf,0,1592
Hansjörg,0,1576
Hanspeter,0,3854
Hansruedi,0,1884
Harald,0,1792
Harry,0,1321
Hasan,0,2194
Hatice,1160,0
Hedwig,8925,0
Heidi,18833,0
Heidy,1763,0
Heike,1428,0
Heinrich,0,6565
Heinz,0,19399
Helen,2457,0
Helena,6743,0
Helene,6138,0
Helga,2976,0
Helmut,0,1984
Henri,0,2818
Henriette,1120,0
Henry,0,1241
Herbert,0,5102
Hermann,0,4848
Hervé,0,1613
Hilda,2116,0
Hildegard,4405,0
Horst,0,1269
Hubert,0,2669
Hugo,0,7270
Huguette,1436,0
Hélène,3540,0
Hüseyin,0,1467
Ian,0,1282
Ibrahim,0,2251
Ida,5727,0
Igor,0,2194
Ilaria,1457,0
Ilona,1776,0
Ilse,1021,0
Ines,3359,0
Inge,1080,0
Ingeborg,1740,0
Ingrid,4509,0
Inès,1323,0
Irena,1080,0
Irene,14640,0
Irina,2578,0
Iris,5921,0
Irma,4891,0
Irmgard,1865,0
Irène,2667,0
Isabel,5448,0
Isabella,4466,0
Isabelle,13423,0
Ismail,0,1413
Ivan,0,7586
Ivana,3223,0
Ivo,0,3958
Jacqueline,15785,0
Jacques,0,6528
Jade,1198,18
Jael,1760,42
Jakob,0,8112
James,0,2162
Jamie,282,1076
Jan,21,12563
Jana,6293,0
Janik,0,1244
Janina,1428,0
Janine,8256,0
Janis,106,2418
Jasmin,9523,392
Jasmina,1607,0
Jasmine,2565,0
Jason,0,1932
Javier,0,1255
Jean,191,18129
Jean-Claude,0,3954
Jean-Daniel,0,1408
Jean-François,0,2055
Jean-Jacques,0,1493
Jean-Louis,0,1196
Jean-Luc,0,2159
Jean-Marc,0,2856
Jean-Marie,0,1220
Jean-Michel,0,1283
Jean-Paul,0,1576
Jean-Pierre,0,5755
Jeanette,1070,0
Jeanine,1493,0
Jeanne,3117,0
Jeannette,5414,0
Jeannine,3613,0
Jelena,2434,0
Jennifer,7196,0
Jenny,2573,0
Jens,0,2150
Jeremy,0,2349
Jessica,11305,0
Joachim,0,2159
Joana,2768,0
Joanna,1407,0
Joao,0,3540
Joaquim,0,2935
Jocelyne,1566,0
Joel,0,6749
Johan,0,1164
Johann,0,13367
Johanna,9652,0
Johannes,0,5452
John,0,3933
Jolanda,4893,0
Jon,0,1035
Jonas,0,10044
Jonathan,0,6689
Jorge,0,4156
Jose,0,3724
Josef,0,21214
Josefa,1065,0
Josefina,1679,0
Josefine,1496,0
Joseph,0,3964
Josette,2271,0
Joshua,0,2635
Josiane,3780,0
José,0,17517
Joy,1028,119
João,0,2888
Joël,0,5676
Joëlle,3439,0
Juan,36,4048
Judith,7681,0
Jules,0,1358
Julia,13315,0
Julian,0,5867
Juliana,1609,0
Julie,5126,0
Julien,0,7448
Juliette,2012,0
Julius,0,1359
Justin,0,1761
Justine,1725,0
Jutta,1215,0
Jérémie,0,1201
Jérémy,0,1805
Jérôme,0,4588
Jörg,0,6279
Jürg,0,13825
Jürgen,0,2712
Kai,38,1688
Karen,1528,28
Karim,0,1800
Karin,23076,0
Karine,1504,0
Karl,0,11485
Karolina,1059,0
Kaspar,0,1838
Katarina,1644,0
Katharina,19776,0
Kathrin,3885,0
Katia,2705,0
Katja,5000,0
Katrin,3889,0
Kelly,1125,19
Kerstin,2294,0
Kevin,0,11975
Kilian,0,3342
Kim,3171,990
Klara,6485,0
Klaus,0,3023
Konrad,0,2858
Kristina,2513,0
Kurt,0,21407
Ladina,2395,0
Laetitia,2592,0
Laila,1148,0
Lana,1027,0
Lara,9556,0
Larissa,4618,0
Lars,0,5527
Laura,19695,0
Laure,1887,0
Laurence,4173,87
Laurent,0,7552
Laurin,0,1790
Lea,9452,0
Leana,1097,0
Leandra,1717,0
Leandro,0,4451
Leila,2102,0
Lena,6075,0
Lenny,0,1606
Leo,0,4832
Leon,0,4522
Leona,1292,0
Leonard,0,1088
Leonardo,0,3658
Leonie,5169,0
Letizia,1231,0
Levi,0,1014
Levin,0,2897
Lia,3122,0
Liam,0,2805
Lidia,1897,0
Lilian,2611,137
Liliana,2914,0
Liliane,5675,0
Lilli,1158,0
Lilly,2277,0
Lily,1178,0
Lina,5984,0
Linda,6272,0
Lino,0,1469
Linus,0,2447
Lionel,0,3930
Lisa,8036,0
Liselotte,4511,0
Livia,5570,0
Livio,0,3333
Ljiljana,1222,0
Loredana,1728,0
Lorena,4678,0
Lorenz,0,2764
Lorenzo,0,3852
Loris,24,4566
Lotti,2003,0
Louis,0,6461
Louise,2754,0
Loïc,0,3524
Luan,0,1316
Luana,4409,0
Luc,0,2854
Luca,207,17643
Lucas,0,5211
Lucia,6370,0
Luciana,1439,0
Luciano,0,2335
Lucie,3728,0
Lucien,0,2151
Lucienne,1299,0
Lucy,1165,0
Ludovic,0,2008
Ludwig,0,1081
Luigi,0,4904
Luis,0,7028
Luisa,3532,0
Luise,1121,0
Luka,0,1597
Lukas,0,15548
Luna,1291,0
Luzia,4116,0
Luís,0,1124
Lydia,5161,0
Lynn,2097,16
Léa,3286,0
Léo,0,1896
Léon,0,1166
Léonie,1098,0
Madeleine,7997,0
Magali,1754,0
Magdalena,5785,0
Maja,7500,0
Manfred,0,5156
Manon,2469,0
Manuel,0,20309
Manuela,17947,0
Mara,3977,0
Marc,0,21252
Marcel,0,25658
Marcelle,1344,0
Marcello,0,1137
Marco,0,32224
Marcus,0,1520
Margareta,2870,0
Margarete,1073,0
Margaretha,5434,0
Margarita,1475,0
Margaritha,3186,0
Margaux,1083,0
Margherita,1226,0
Margot,2388,0
Margrit,21376,0
Margrith,6073,0
Marguerite,3207,0
Maria,86978,0
Mariana,1929,0
Marianna,3401,0
Marianne,23242,0
Marie,26502,0
Marie-Claire,1199,0
Marie-Claude,1119,0
Marie-Louise,1942,0
Marie-Thérèse,1397,0
Marietta,1054,0
Marija,2740,0
Marina,8713,0
Marine,1619,0
Mario,0,15451
Marion,5516,7
Marisa,3368,0
Marius,0,2757
Mark,0,3380
Marko,0,3093
Markus,0,38457
Marlen,1510,0
Marlene,2661,0
Marlies,2665,0
Marlis,1838,0
Marlise,5166,0
Marlon,0,1105
Marlyse,1651,0
Marlène,1667,0
Marta,3921,0
Martha,9615,0
Martial,0,1052
Martin,0,41040
Martina,13580,0
Martine,4609,0
Marvin,0,1650
Mary,1710,0
Massimiliano,0,1032
Massimo,0,3424
Mateo,0,1071
Mathias,0,6067
Mathieu,0,3347
Mathilde,3365,0
Mathis,0,1189
Matilde,1254,0
Matteo,0,6626
Matthias,0,14029
Matthieu,0,1681
Mattia,0,3440
Maurice,0,3435
Maurizio,0,3054
Mauro,0,4436
Max,0,12638
Maxime,86,3974
Maximilian,0,2671
Maya,3313,0
Maël,0,1256
Mehmet,0,3225
Meinrad,0,1466
Melanie,12725,0
Melina,2718,0
Melisa,1071,0
Melissa,3710,0
Meret,1078,0
Mia,4243,0
Micha,0,1452
Michael,0,39671
Michaela,4360,0
Michaël,0,1939
Michel,0,18709
Michela,1642,0
Michele,355,5399
Micheline,1843,0
Michelle,8830,0
Michèle,7345,0
Miguel,0,3736
Mike,0,4151
Mila,1650,0
Milan,0,2288
Milena,4039,0
Milica,1138,0
Mina,1394,20
Mira,1535,0
Mirco,0,1973
Mireille,3011,0
Mirella,1181,0
Miriam,5065,0
Mirjam,6720,0
Mirjana,1575,0
Mirko,0,2183
Miroslav,0,1336
Mischa,26,1630
Mohamed,0,3875
Mohammad,0,1303
Mohammed,0,1139
Mona,1111,0
Monica,5957,0
Monika,32251,0
Monique,8838,0
Moreno,0,1168
Morgane,1637,0
Moritz,0,3220
Murat,0,1281
Muriel,2879,0
Murielle,1320,0
Mustafa,0,2452
Myriam,5310,0
Myrta,1623,0
Mélanie,4027,0
Mélissa,1315,0
Nada,1222,0
Nadia,9397,0
Nadine,12195,0
Nadja,6557,0
Nancy,1265,0
Nando,0,1062
Naomi,2096,0
Natacha,1909,0
Natalia,2920,0
Natalie,3751,0
Natascha,2901,0
Nathalie,13274,0
Nathan,0,3419
Nelli,1146,0
Nelly,5767,0
Nelson,0,1581
Nenad,0,1040
Nevio,0,1585
Nicholas,0,1156
Nick,0,2323
Nico,0,6523
Nicola,618,6878
Nicolas,0,17652
Nicole,29325,0
Niklas,0,1465
Niklaus,0,4020
Nikola,134,2429
Nikolaus,0,1071
Nils,0,4182
Nina,9989,0
Nino,51,2404
Noah,29,8003
Noel,0,1868
Noelia,1064,0
Noemi,4326,0
Nolan,0,1300
Nora,4954,0
Norbert,0,3316
Noé,69,2094
Noémie,2616,0
Noël,0,1061
Nuno,0,2693
Océane,1307,0
Odette,1316,0
Olga,5325,0
Oliver,0,10900
Olivia,6018,0
Olivier,0,10446
Omar,0,1803
Orlando,0,1219
Oscar,0,2259
Oskar,0,2429
Othmar,0,2602
Otto,0,5329
Pablo,0,1949
Pamela,1888,0
Paola,3282,0
Paolo,0,4371
Pascal,0,22574
Pascale,3467,10
Pasquale,0,2082
Patric,0,1763
Patrice,32,2130
Patricia,13744,0
Patrick,0,31106
Patrik,0,4977
Patrizia,5636,0
Paul,0,21961
Paula,5805,0
Paulette,1213,0
Paulina,1166,0
Pauline,2959,0
Paulo,0,4745
Pedro,0,4863
Peter,0,60928
Petra,9836,0
Philip,0,2894
Philipp,0,13712
Philippe,0,15054
Pia,8135,0
Pierre,0,14097
Pierre-Alain,0,1512
Pierre-André,0,1168
Pierrette,1631,0
Pietro,0,3585
Pirmin,0,1304
Pius,0,3386
Prisca,1381,0
Priska,6447,0
Quentin,0,2505
Rachel,3045,0
Rafael,0,5427
Raffael,0,1344
Raffaele,0,2114
Rahel,8426,0
Rainer,0,2407
Ralf,0,2737
Ralph,0,3041
Ramon,0,3982
Ramona,6139,0
Raoul,0,1135
Raphael,0,9162
Raphaël,0,4341
Raquel,1261,0
Rayan,19,1065
Raymond,0,3497
Raymonde,1442,0
Rebecca,4797,0
Rebekka,2411,0
Regina,6357,0
Regula,10658,0
Reinhard,0,1987
Remo,0,7759
Renata,3769,0
Renate,7519,0
Renato,0,4415
Renzo,0,1077
René,0,26549
Renée,1627,0
Reto,0,15289
Ricardo,0,4230
Riccardo,0,2606
Richard,0,8643
Rico,0,2047
Rita,20526,0
Robert,0,18816
Roberta,1593,0
Roberto,0,7710
Robin,180,7537
Rocco,0,1815
Rodrigo,0,1593
Roger,0,20809
Roland,0,24735
Rolf,0,19741
Romain,0,3699
Roman,0,11794
Romana,1211,0
Romano,0,1125
Romeo,0,1422
Romina,2090,0
Ronald,0,1820
Ronja,1833,0
Ronny,0,1863
Rosa,17326,0
Rosanna,1355,0
Rose,2233,0
Rose-Marie,1525,0
Rosemarie,1939,0
Rosina,1107,0
Rosmarie,19212,0
Roswitha,1373,0
Ruben,0,2866
Rudolf,0,19390
Rui,43,3192
Ruth,36076,0
Ryan,0,1744
Rémy,0,1847
Sabina,3292,0
Sabine,9985,0
Sabrina,13253,0
Sacha,76,2262
Salome,2699,0
Salvatore,0,5803
Samantha,2333,0
Sami,0,1485
Samir,0,1514
Samira,3129,0
Samuel,0,16540
Samuele,0,1051
Sandra,34769,0
Sandrine,4106,0
Sandro,0,11091
Sanja,1284,0
Sara,14984,0
Sarah,19604,0
Sarina,2571,0
Sascha,187,5444
Saskia,2246,0
Sebastian,0,6520
Selina,6262,0
Selma,1751,0
Seraina,2931,0
Serena,1508,0
Serge,0,4149
Sergio,0,4519
Severin,0,3703
Sharon,1059,55
Sheila,1100,0
Sibylle,5121,0
Siegfried,0,1533
Silas,0,1854
Silvan,0,5595
Silvana,3566,0
Silvano,0,1451
Silvia,27387,0
Silvio,0,3871
Simon,0,22220
Simona,3989,0
Simone,11062,2460
Sina,3300,48
Slavica,1325,0
Sofia,5296,0
Solange,1257,0
Sonia,6206,0
Sonja,16688,0
Sophia,3387,0
Sophie,10276,0
Soraya,1569,0
Stefan,0,30567
Stefania,2448,0
Stefanie,9529,0
Stefano,0,4996
Steffen,0,1118
Stella,2054,0
Stephan,0,13793
Stephanie,6414,0
Steve,0,2595
Steven,0,2407
Stéphane,16,7027
Stéphanie,5472,0
Susan,1571,0
Susana,2159,0
Susanna,10650,0
Susanne,20531,0
Suzana,1456,0
Suzanne,4590,0
Sven,0,8018
Svenja,2263,0
Svetlana,1587,0
Sybille,1083,0
Sylvain,0,2391
Sylvia,5272,0
Sylviane,1725,0
Sylvie,5088,0
Sébastien,0,6201
Sérgio,0,1002
Séverine,1968,0
Tabea,2031,0
Tamara,9277,0
Tania,3126,0
Tanja,10201,0
Tatiana,2752,0
Tatjana,2382,0
Teresa,3754,0
Theo,0,1046
Theodor,0,3012
Therese,9635,0
Theresia,6815,0
Thi,2773,5
Thierry,0,6720
Thomas,0,52513
Théo,0,1937
Thérèse,2092,0
Tiago,0,3393
Tiffany,1038,0
Till,0,1144
Tim,0,6693
Timo,0,3635
Timon,0,1796
Timothy,0,1240
Tina,3082,0
Tiziana,2300,0
Tiziano,0,1369
Tobias,0,10769
Tom,0,2003
Tomas,0,1124
Tommaso,0,1081
Toni,36,1275
Tristan,0,1679
Ueli,0,1377
Ulrich,0,11360
Ulrike,1659,0
Urs,0,27771
Ursina,1657,0
Ursula,35908,0
Ute,1092,0
Uwe,0,1631
Valentin,0,5371
Valentina,5661,0
Valentine,1296,25
Valentino,0,1015
Valeria,3016,0
Valerie,1359,0
Valerio,0,1209
Valérie,6218,0
Vanessa,11045,0
Vera,5444,0
Verena,30873,0
Veronica,1902,0
Veronika,4517,0
Vesna,1522,0
Victor,0,3138
Victoria,3073,0
Viktor,0,2884
Vincent,0,6893
Vincenzo,0,4491
Viola,1166,0
Violeta,1073,0
Virginia,1492,0
Virginie,2465,0
Vito,0,1680
Vitor,0,2069
Vittorio,0,1151
Viviane,2740,0
Vivienne,1169,0
Vladimir,0,1517
Véronique,5333,0
Walter,0,30912
Werner,0,23999
Wilhelm,0,3425
Willi,0,4805
William,0,2925
Willy,20,4700
Wolfgang,0,3595
Xaver,0,1184
Xavier,0,2685
Xenia,1106,0
Yanick,31,1232
Yanis,0,1199
Yann,0,3339
Yannick,121,5298
Yara,1547,0
Yasmin,1153,0
Yasmine,1128,0
Yolanda,1867,0
Yolande,1368,0
Yvan,0,2348
Yves,0,8538
Yvette,3092,0
Yvonne,16491,0
Zita,1096,0
Zoe,1771,0
Zoran,0,1931
Zoé,2747,0
