PLZ4,PLZZ,PLZNAMK
8914,0,Aeugst am Albis
8914,2,Aeugstertal
8909,0,Zwillikon
8910,0,Affoltern am Albis
8906,0,Bonstetten
6340,4,Sihlbrugg
8915,0,Hausen am Albis
8925,0,Ebertswil
8908,0,Hedingen
8926,0,Kappel am Albis
8926,2,Hauptikon
8926,3,Uerzlikon
8934,0,Knonau
8933,0,Maschwanden
8932,0,Mettmenstetten
8912,0,Obfelden
8913,0,Ottenbach
8911,0,Rifferswil
8143,0,Stallikon
8143,2,Uetliberg
8907,0,Wettswil
8452,0,Adlikon
8463,0,Benken ZH
8415,0,Berg am Irchel
8415,1,Gräslikon
8414,0,Buch am Irchel
8447,0,Dachsen
8458,0,Dorf
8245,0,Feuerthalen
8246,0,Langwiesen
8416,0,Flaach
8247,0,Flurlingen
8450,0,Andelfingen
8444,0,Henggart
8457,0,Humlikon
8451,0,Kleinandelfingen
8453,0,Alten
8461,0,Oerlingen
8212,4,Nohl
8248,0,Uhwiesen
8447,0,Dachsen
8460,0,Marthalen
8464,0,Ellikon am Rhein
8468,0,Waltalingen
8477,0,Oberstammheim
8525,2,Wilen b. Neunforn
8466,0,Trüllikon
8475,0,Ossingen
8462,0,Rheinau
8464,0,Ellikon am Rhein
8478,0,Thalheim
8465,0,Rudolfingen
8465,1,Wildensbuch
8466,0,Trüllikon
8467,0,Truttikon
8476,0,Unterstammheim
8459,0,Volken
8468,0,Waltalingen
8468,2,Guntalingen
8184,0,Bachenbülach
8303,0,Bassersdorf
8180,0,Bülach
8305,0,Dietlikon
8600,0,Dübendorf
8193,0,Eglisau
8197,0,Rafz
8424,0,Embrach
8427,3,Rorbas
8427,2,Freienstein
8428,0,Teufen ZH
8180,0,Bülach
8192,0,Glattfelden
8192,1,Zweidlen
8193,0,Eglisau
8182,0,Hochfelden
8192,0,Glattfelden
8181,0,Höri
8194,0,Hüntwangen
8152,0,Glattbrugg
8302,0,Kloten
8309,0,Nürensdorf
8426,0,Lufingen
8309,0,Nürensdorf
8425,0,Oberembrach
8052,0,Zürich
8152,0,Glattbrugg
8152,1,Opfikon
8152,2,Glattpark(Opfikon)
8197,0,Rafz
8427,3,Rorbas
8428,0,Teufen ZH
8304,0,Wallisellen
8195,0,Wasterkingen
8196,0,Wil ZH
8196,0,Wil ZH
8180,0,Bülach
8185,0,Winkel
8164,0,Bachs
8113,0,Boppelsen
8107,0,Buchs ZH
8108,0,Dällikon
8114,0,Dänikon ZH
8157,0,Dielsdorf
8115,0,Hüttikon
8162,0,Steinmaur
8164,0,Bachs
8173,0,Neerach
8174,0,Stadel
8172,0,Niederglatt ZH
8155,0,Niederhasli
8155,1,Nassenwil
8156,0,Oberhasli
8166,0,Niederweningen
8154,0,Oberglatt ZH
5462,0,Siglistorf
8165,2,Oberweningen
8107,0,Buchs ZH
8112,0,Otelfingen
8158,0,Regensberg
8105,0,Regensdorf
8105,2,Watt
8106,2,Adlikon b.Regensdf
8052,0,Zürich
8152,0,Glattbrugg
8153,0,Rümlang
8165,3,Schleinikon
8165,0,Schöfflisdorf
8174,0,Stadel
8175,0,Windlach
8155,0,Niederhasli
8162,0,Steinmaur
8162,1,Sünikon
8187,0,Weiach
8340,0,Hinwil
8344,0,Bäretswil
8345,0,Adetswil
8498,0,Gibswil
8608,0,Bubikon
8633,0,Wolfhausen
8340,0,Hinwil
8608,0,Bubikon
8632,0,Tann
8635,0,Dürnten
8636,0,Wald ZH
8494,0,Bauma
8496,0,Steg im Tösstal
8497,0,Fischenthal
8498,0,Gibswil
8614,0,Bertschikon Gossau
8617,0,Mönchaltorf
8624,0,Grüt (Gossau ZH)
8625,0,Gossau ZH
8626,0,Ottikon
8627,0,Grüningen
8627,0,Grüningen
8340,0,Hinwil
8342,0,Wernetshausen
8498,0,Gibswil
8630,0,Rüti ZH
8636,0,Wald ZH
8607,0,Aathal-Seegräben
8636,0,Wald ZH
8637,0,Laupen ZH
8340,0,Hinwil
8345,0,Adetswil
8620,0,Wetzikon ZH
8623,0,Wetzikon ZH
8624,0,Grüt (Gossau ZH)
8134,0,Adliswil
8816,0,Hirzel
8135,0,Langnau am Albis
8135,2,Sihlbrugg Station
8135,3,Sihlwald
8810,0,Horgen
8815,0,Horgenberg
8816,0,Hirzel
8825,0,Hütten
8802,0,Kilchberg ZH
8803,0,Rüschlikon
8135,0,Langnau am Albis
8942,0,Oberrieden
8805,0,Richterswil
8833,0,Samstagern
8803,0,Rüschlikon
8824,0,Schönenberg ZH
8136,0,Gattikon
8800,0,Thalwil
8804,0,Au ZH
8820,0,Wädenswil
8703,0,Erlenbach ZH
8703,0,Erlenbach ZH
8704,0,Herrliberg
8627,0,Grüningen
8634,0,Hombrechtikon
8714,0,Feldbach
8127,0,Forch
8700,0,Küsnacht ZH
8703,0,Erlenbach ZH
8708,0,Männedorf
8706,0,Meilen
8618,0,Oetwil am See
8712,0,Stäfa
8713,0,Uerikon
8707,0,Uetikon am See
8126,0,Zumikon
8125,0,Zollikerberg
8702,0,Zollikon
8308,0,Illnau
8308,2,Agasul
8320,0,Fehraltorf
8335,0,Hittnau
8310,0,Kemptthal
8310,1,Grafstal
8312,0,Winterberg ZH
